Factor,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,1.6456241043138793,1.6456241043138793,14.960219130126177,14.960219130126177
F2,1.2567032118230101,2.9023273161368897,11.424574652936457,26.384793783062634
F3,1.1063069869690192,4.008634303105909,10.057336245172902,36.44213002823553
F4,1.065359081685878,5.0739933847917875,9.68508256078071,46.12721258901624
F5,1.0120170469169067,6.0860104317086945,9.20015497197188,55.32736756098813
F6,0.45535648357571223,6.5413669152844065,4.139604396142838,59.466971957130966
F7,0.45051286357952824,6.991879778863935,4.09557148708662,63.56254344421759
F8,0.21609258835469064,7.207972367218626,1.964478075951733,65.52702152016933
F9,0.027510332784352127,7.235482700002978,0.25009393440320116,65.77711545457254
F10,0.012956049357334597,7.248438749360313,0.11778226688485997,65.8948977214574
F11,0.0,7.248438749360313,0.0,65.8948977214574
